我現在要做g42.html的內容，請幫我製作,,,,,,,,
match-date:2025/2/4 21:00,,,,,,,,
venue-inf:逃生入口 Bar,,,,,,,,
team away:海盜揪硬,,,,,,,,
team home:酒空組,,,,,,,,
飲酒加成:海盜揪硬,,,,,,,,
SET1,客隊,船長,主隊,范姜姊,先攻,客場,勝方,主場
SET2,客隊,阿肥,主隊,阿堯,先攻,主場,勝方,主場
SET3,客隊,阿雞,主隊,宓哥,先攻,客場,勝方,客場
SET4,客隊,蘇ㄟ,主隊,瘦子,先攻,客場,勝方,主場
SET5,客隊,"船長,阿祺,小薩",主隊,"瘦子,宓哥,阿堯",先攻,主場,勝方,主場
SET6,客隊,阿祺,主隊,慶文,先攻,客場,勝方,主場
SET7,客隊,阿肥,主隊,范姜哥,先攻,主場,勝方,客場
SET8,客隊,蘇ㄟ,主隊,阿堯,先攻,客場,勝方,客場
SET9,客隊,阿雞,主隊,瘦子,先攻,主場,勝方,主場
SET10,客隊,"小薩,阿肥,船長",主隊,"瘦子,范姜哥,阿堯",先攻,主場,勝方,客場
SET11,客隊,"阿雞,阿祺",主隊,"阿堯,慶文",先攻,主場,勝方,客場
SET12,客隊,"蘇ㄟ,小薩",主隊,"宓哥,瘦子",先攻,主場,勝方,客場
SET13,客隊,"阿肥,船長",主隊,"范姜哥,Sandy",先攻,主場,勝方,客場
SET14,客隊,"阿雞,小薩",主隊,"瘦子,阿堯",先攻,主場,勝方,客場
SET15,客隊,"蘇ㄟ,阿祺,船長,小薩",主隊,"瘦子,阿堯,宓哥,范姜姊",先攻,主場,勝方,客場
SET16,客隊,"阿雞,阿肥,阿祺,蘇ㄟ",主隊,"瘦子,阿堯,范姜哥,慶文",先攻,主場,勝方,客場
