我現在要做g36.html的內容，請幫我製作,,,,,,,,
match-date:2025/1/14 21:00,,,,,,,,
venue-inf:醉販,,,,,,,,
team away:人生揪難,,,,,,,,
team home:醉販,,,,,,,,
飲酒加成:醉販,,,,,,,,
SET1,客隊,小姜,主隊,山豬,先攻,主場,勝方,主場
SET2,客隊,宗燁,主隊,Ray,先攻,客場,勝方,主場
SET3,客隊,小魚,主隊,小飛,先攻,主場,勝方,客場
SET4,客隊,歪歪,主隊,家綸,先攻,主場,勝方,主場
SET5,客隊,"歪歪,宗燁,小魚",主隊,"家綸,山豬,小飛",先攻,客場,勝方,主場
SET6,客隊,宗燁,主隊,山豬,先攻,客場,勝方,客場
SET7,客隊,歪歪,主隊,家綸,先攻,主場,勝方,主場
SET8,客隊,亮亮,主隊,小飛,先攻,主場,勝方,主場
SET9,客隊,小姜,主隊,Ray,先攻,客場,勝方,主場
SET10,客隊,"羿珩,亮亮,小姜",主隊,"家綸,山豬,小飛",先攻,客場,勝方,主場
SET11,客隊,"歪歪,宗燁",主隊,"Ray,阿冠",先攻,客場,勝方,客場
SET12,客隊,"羿珩,小魚",主隊,"家綸,小飛",先攻,客場,勝方,客場
SET13,客隊,"小魚,羿珩",主隊,"山豬,阿冠",先攻,主場,勝方,客場
SET14,客隊,"亮亮,小姜",主隊,"家綸,小飛",先攻,主場,勝方,客場
SET15,客隊,"宗燁,羿珩,小魚,歪歪",主隊,"家綸,玉米,小飛,阿冠",先攻,客場,勝方,主場
SET16,客隊,"亮亮,小魚,小姜,羿珩",主隊,"家綸,山豬,小飛,阿冠",先攻,客場,勝方,主場
