我現在要做g43.html的內容，請幫我製作,,,,,,,,
match-date:2025/2/4 21:00,,,,,,,,
venue-inf:酒窩海盜聯盟,,,,,,,,
team away:逃生入口C,,,,,,,,
team home:人生揪難,,,,,,,,
飲酒加成:人生揪難,,,,,,,,
SET1,客隊,小歪,主隊,克林,先攻,主場,勝方,客場
SET2,客隊,阿仁,主隊,小姜,先攻,客場,勝方,客場
SET3,客隊,隼隼,主隊,宗燁,先攻,客場,勝方,客場
SET4,客隊,華華,主隊,小魚,先攻,客場,勝方,主場
SET5,客隊,"華華,阿仁,Ace",主隊,"宗燁,克林,小魚",先攻,主場,勝方,客場
SET6,客隊,阿仁,主隊,克林,先攻,客場,勝方,主場
SET7,客隊,隼隼,主隊,羿珩,先攻,主場,勝方,主場
SET8,客隊,禹辰,主隊,亮亮,先攻,客場,勝方,客場
SET9,客隊,華華,主隊,小姜,先攻,客場,勝方,客場
SET10,客隊,"華華,小歪,阿仁",主隊,"亮亮,羿珩,小姜",先攻,客場,勝方,客場
SET11,客隊,"小歪,晨晨",主隊,"宗燁,克林,小姜",先攻,客場,勝方,主場
SET12,客隊,"華華,禹辰",主隊,"羿珩,小魚",先攻,主場,勝方,客場
SET13,客隊,"Ace,隼隼",主隊,"小魚,宗燁",先攻,客場,勝方,主場
SET14,客隊,"華華,禹辰",主隊,"亮亮,宗燁",先攻,主場,勝方,客場
SET15,客隊,"華華,Ace,隼隼,小歪",主隊,"羿珩,克林,小魚,宗燁",先攻,主場,勝方,客場
SET16,客隊,"禹辰,華華,阿仁,Ace",主隊,"亮亮,小魚,小姜,羿珩",先攻,主場,勝方,客場
