我現在要做g33.html的內容，請幫我製作,,,,,,,,
match-date:2025/1/14 21:00,,,,,,,,
venue-inf:酒窩海盜聯盟,,,,,,,,
team away:逃生入口A,,,,,,,,
team home:海盜揪硬,,,,,,,,
飲酒加成:海盜揪硬,,,,,,,,
SET1,客隊,孟瑄,主隊,小偉,先攻,客場,勝方,客場
SET2,客隊,Terry,主隊,Louis,先攻,主場,勝方,主場
SET3,客隊,Lucas,主隊,阿基,先攻,主場,勝方,主場
SET4,客隊,Jesse,主隊,小薩,先攻,客場,勝方,主場
SET5,客隊,"Lucas,Jesse,Terry",主隊,"船長,阿肥,小薩",先攻,主場,勝方,主場
SET6,客隊,Terry,主隊,小偉,先攻,客場,勝方,主場
SET7,客隊,孟瑄,主隊,阿肥,先攻,主場,勝方,主場
SET8,客隊,Lucas,主隊,Louis,先攻,客場,勝方,主場
SET9,客隊,小倫,主隊,蘇ㄟ,先攻,客場,勝方,主場
SET10,客隊,"孟瑄,小倫,Jesse",主隊,"阿基,小偉,蘇ㄟ",先攻,客場,勝方,主場
SET11,客隊,"Terry,Lucas",主隊,"阿肥,小偉",先攻,客場,勝方,主場
SET12,客隊,"小倫,Jesse",主隊,"Louis,船長",先攻,主場,勝方,主場
SET13,客隊,"Terry,Lucas",主隊,"小薩,Louis",先攻,主場,勝方,客場
SET14,客隊,"孟瑄,小倫",主隊,"阿基,蘇ㄟ",先攻,主場,勝方,主場
SET15,客隊,"小倫,Terry,孟瑄,Lucas",主隊,"阿基,阿肥,船長,小薩",先攻,客場,勝方,客場
SET16,客隊,"小倫,孟瑄,Jesse,Lucas",主隊,"蘇ㄟ,船長,阿肥,阿基",先攻,主場,勝方,主場
